Rank;Prev;Diff;Rider;Team;Points;Date_of_birth;Nationality;Weight;Height;PCS_points;One_dav_races;GC;Time_trial;Sprint;Cimber
333;333;;Campenaerts Victor;Lotto Dstny;183;28th October 1991;Belgium;68;1.80;183;729;886;3140;330;686
334;335;+1;Busatto Francesco;Circus - ReUz - Technord;183;1st November 2002;Italy;62;1.78;183;202;19;2;10;193
335;336;+1;Barta Will;Movistar Team;182;4th January 1996;United States;61;1.78;182;59;309;603;16;243
336;334;-2;van Engelen Adne;Roojai Online Insurance;181;16th March 1993;Netherlands;51;1.85;183;8;471;49;112;280
337;337;;Consonni Simone;Cofidis;181;12th September 1994;Italy;60;1.76;181;1390;298;25;1192;993
338;338;;Gloag Thomas;Jumbo-Visma;180;13th September 2001;Great Britain;60;1.80;180;58;177;0;4;258
339;339;;Swift Connor;INEOS Grenadiers;178;30th October 1995;Great Britain;75;;178;634;553;294;182;368
340;340;;Vargas Walter;Team Medellín - EPM;177;16th April 1992;;;;177;45;56;719;5;25
341;341;;Bregnhøj Mathias;Leopard TOGT Pro Cycling;176;11th November 1995;Denmark;63;1.73;176;59;195;59;28;127
342;342;;Gallopin Tony;Lotto Dstny;175;24th May 1988;France;69;1.73;175;3129;2384;1086;1266;3870
343;343;;Sexton Tom;Bolton Equities Black Spoke;175;19th November 1998;New Zealand;71;1.72;175;171;26;159;20;16
344;344;;Canal Carlos;Euskaltel - Euskadi;174;28th June 2001;Spain;70;1.80;174;176;63;62;105;236
345;345;;Castrillo Pablo;Equipo Kern Pharma;174;2nd January 2001;Spain;74;1.65;174;11;139;5;0;86
346;346;;Boasson Hagen Edvald;TotalEnergies;173;17th May 1987;Norway;75;1.65;173;4386;3641;2927;5978;4134
347;347;;Geniets Kevin;Groupama - FDJ;173;9th January 1997;Luxembourg;73;1.81;173;440;306;214;62;340
348;348;;Laurance Axel;Alpecin-Deceuninck Development Team;173;13th April 2001;France;66;1.90;173;292;65;38;65;375
349;349;;Brambilla Gianluca;Q36.5 Pro Cycling Team;172;22nd August 1987;Italy;57;;172;1502;1677;148;476;3289
350;350;;Shaw James;EF Education - EasyPost;171;13th June 1996;Great Britain;63;;171;108;485;108;44;504
351;351;;Juaristi Txomin;Euskaltel - Euskadi;171;20th July 1995;SpainWe;.5;1.80;171;44;216;205;9;178
352;352;;Brussenskiy Gleb;Astana Qazaqstan Team;170;18th April 2000;Kazakhstan;64;1.81;170;207;11;16;178;76
353;353;;Simmons Quinn;Trek - Segafredo;170;8th May 2001;United States;72;1.83;170;321;361;4;87;530
354;354;;de Bod Stefan;EF Education - EasyPost;169;17th November 1996;South Africa;66;1.79;169;148;421;682;21;274
355;355;;Oliveira Rui;UAE Team Emirates;169;5th September 1996;Portugal;66;1.83;169;393;130;10;300;368
356;356;;Bouchard Geoffrey;AG2R Citroën Team;168;1st April 1992;France;63;1.80;168;131;692;13;2;840
357;360;+3;Hamilton Chris;Team DSM;167;18th May 1995;Australia;70;1.93;166;154;758;74;13;693
358;357;-1;Oliveira Ivo;UAE Team Emirates;167;5th September 1996;Portugal;68;;167;55;175;327;55;128
359;358;-1;Sosa Iván Ramiro;Movistar Team;167;31st October 1997;Colombia;52;1.70;167;216;1477;1;7;1108
360;359;-1;Arndt Nikias;Bahrain - Victorious;166;18th November 1991;GermanyWe;.5;1.79;166;867;729;966;1172;1448
361;361;;Baldaccini Davide;Team Corratec - Selle Italia;166;22nd May 1998;Italy;;1.82;166;1;134;0;14;80
362;362;;Ghys Robbe;Alpecin - Deceuninck;165;11th January 1997;Belgium;72;1.78;165;194;110;2;277;76
363;363;;van Uden Casper;Team DSM;165;22nd July 2001;Netherlands;;1.85;165;282;34;15;414;30
364;364;;Piccoli James;China Glory Continental Cycling Team;164;5th September 1991;Canada;65;1.83;164;88;745;297;28;538
365;365;;Marcellusi Martin;Green Project-Bardiani CSF-Faizanè;164;5th April 2000;Italy;62;1.83;164;169;59;3;30;224
366;366;;Budyak Anatoliy;Terengganu Polygon Cycling Team;163;29th September 1995;Ukraine;53;1.77;163;240;412;58;224;434
367;367;;Marukhin Daniil;Vino SKO Team;163;13th February 1999;Kazakhstan;63;1.78;163;90;80;96;143;68
368;368;;Kuzmin Anton;Almaty Astana Motors;162;20th November 1996;Kazakhstan;66;1.85;162;59;120;97;110;118
369;369;;Schultz Nick;Israel - Premier Tech;161;13th September 1994;Australia;68;1.68;161;335;725;65;101;1088
370;403;+33;Gate Aaron;Bolton Equities Black Spoke;161;26th November 1990;New Zealand;71;1.87;151;226;426;354;416;304
371;370;-1;Zeits Andrey;Astana Qazaqstan Team;161;14th December 1986;Kazakhstan;73;1.76;161;364;1602;125;162;745
372;371;-1;Osborne Jason;Alpecin - Deceuninck;161;20th March 1994;Germany;70;1.82;161;40;133;80;0;134
373;376;+3;Walsh Liam;Team BridgeLane;161;29th May 2001;Australia;80;1.81;160;184;5;0;7;0
374;372;-2;Edmondson Alex;Team DSM;160;22nd December 1993;Australia;75;1.78;160;187;262;557;248;178
375;373;-2;Haller Marco;BORA - hansgrohe;160;1st April 1991;Austria;72;1.72;160;1087;594;43;783;498
376;374;-2;Oldani Stefano;Alpecin - Deceuninck;160;10th January 1998;Italy;65;1.69;160;469;226;36;178;870
377;375;-2;Riccitello Matthew;Israel - Premier Tech;160;5th March 2002;United States;55;1.80;160;14;154;80;8;173
378;377;-1;Houle Hugo;Israel - Premier Tech;159;27th September 1990;Canada;72;1.86;159;691;925;641;216;890
379;378;-1;Rex Laurenz;Intermarché - Circus - Wanty;159;15th December 1999;Belgium;82;1.80;159;222;30;2;114;138
380;379;-1;Verona Carlos;Movistar Team;158;4th November 1992;Spain;68;1.81;158;457;1240;21;38;1193
381;380;-1;Vervaeke Louis;Soudal - Quick Step;158;6th October 1993;Belgium;68;1.89;158;318;485;175;28;466
382;381;-1;Guernalec Thibault;Team Arkéa Samsic;158;31st July 1997;France;71;1.78;158;46;373;660;28;105
383;382;-1;Turner Ben;INEOS Grenadiers;158;28th May 1999;Great Britain;74;1.82;158;361;99;56;80;200
384;383;-1;López Jordi;Equipo Kern Pharma;158;14th August 1998;Spain;59;1.83;158;55;122;5;6;104
385;384;-1;Pellizzari Giulio;Green Project-Bardiani CSF-Faizanè;158;21st November 2003;;;1.78;158;41;80;28;0;162
386;385;-1;Dyball Benjamin;Victoire Hiroshima;157;20th April 1989;Australia;63;1.78;157;375;993;255;77;435
387;386;-1;Gruzdev Dmitriy;Astana Qazaqstan Team;157;13th March 1986;Kazakhstan;78;1.72;157;578;754;563;278;37
388;387;-1;Arashiro Yukiya;Bahrain - Victorious;157;22nd September 1984;Japan;64;1.83;157;1684;1192;120;1042;628
389;388;-1;Allegaert Piet;Cofidis;157;20th January 1995;Belgium;70;1.93;157;1182;111;140;746;318
390;389;-1;Badilatti Matteo;Q36.5 Pro Cycling Team;157;30th July 1992;Switzerland;62;1.86;157;49;591;54;3;531
391;390;-1;El Arbaoui Adil;AVC Khourigba;157;15th February 1995;;;1.81;157;138;94;70;480;22
392;391;-1;Amari Hamza;Q36.5 Continental Team;157;2nd October 2002;;;1.85;157;117;95;12;130;10
393;392;-1;Jang Kyung-Gu;Eumseong gu Office;155;29th May 1990;;;1.94;155;299;70;164;174;72
394;394;;Quinn Sean;EF Education - EasyPost;155;10th May 2000;United States;67;1.70;155;76;215;60;7;310
395;395;;Le Gac Olivier;Groupama - FDJ;154;27th August 1993;France;70;;154;652;380;4;200;195
396;396;;Bizkarra Mikel;Euskaltel - Euskadi;154;21st August 1989;Spain;53;;154;191;892;12;22;900
397;397;;Rutsch Jonas;EF Education - EasyPost;154;24th January 1998;Germany;82;1.82;154;261;255;149;46;134
398;398;;López Juan Pedro;Trek - Segafredo;154;31st July 1997;Spain;60;1.85;154;49;615;17;2;528
399;399;;Banaszek Norbert;HRE Mazowsze Serce Polski;153;18th June 1997;Poland;75;1.70;153;46;142;48;362;46
400;400;;Jungels Bob;BORA - hansgrohe;152;22nd September 1992;Luxembourg;70;1.81;152;1165;2559;2687;332;2540
401;401;;Lamperti Luke;Trinity Racing;152;31st December 2002;United States;74;1.78;152;27;50;60;228;132
402;402;;De Bondt Dries;Alpecin - Deceuninck;151;4th July 1991;Belgium;73;;151;1457;256;1;1126;304
403;393;-10;Morey Drew;Kinan Cycling Team;151;27th November 1996;;;;155;208;206;20;30;203
404;404;;Tonelli Alessandro;Green Project-Bardiani CSF-Faizanè;150;29th May 1992;Italy;64;;150;179;151;8;82;351
405;405;;Malucelli Matteo;Bingoal WB;150;20th October 1993;Italy;68;;150;140;35;36;1677;148
406;406;;Cardis Romain;St Michel - Mavic - Auber93;149;12th August 1992;France;72;;149;639;140;36;689;216
407;407;;Van Lerberghe Bert;Soudal - Quick Step;149;29th September 1992;Belgium;83;1.87;149;1171;131;48;1342;82
408;408;;Eiking Odd Christian;EF Education - EasyPost;149;28th December 1994;Norway;75;1.80;149;705;1041;55;177;1351
409;409;;Syritsa Gleb;Astana Qazaqstan Team;149;14th April 2000;Russia;85;1.65;149;50;11;36;516;67
410;410;;Heiduk Kim;INEOS Grenadiers;148;3rd March 2000;Germany;70;1.97;148;96;87;45;90;62
411;411;;Tizza Marco;Bingoal WB;147;6th February 1992;Italy;58;1.70;147;740;212;23;211;623
412;412;;Rasch Jesper;ABLOC CT;147;22nd March 1998;Netherlands;71;1.89;147;62;73;0;320;30
413;413;;McLay Daniel;Team Arkéa Samsic;146;3rd January 1992;Great Britain;72;1.89;146;1205;215;100;2262;192
414;414;;Affini Edoardo;Jumbo-Visma;146;24th June 1996;Italy;80;1.80;146;132;197;1238;200;63
415;415;;Raileanu Cristian;Hengxiang Cycling Team;145;24th January 1993;Romania;63;1.85;145;154;619;245;186;374
416;416;;Gidich Yevgeniy;Astana Qazaqstan Team;145;19th May 1996;Kazakhstan;69;;145;469;498;20;992;372
417;417;;Pozzovivo Domenico;Israel - Premier Tech;144;30th November 1982;Italy;53;1.76;144;2628;6326;819;709;7662
418;418;;Bonifazio Niccolò;Intermarché - Circus - Wanty;143;29th October 1993;Italy;72;1.71;143;1619;415;48;2342;934
419;419;;Lecerf William Junior;Soudal - Quick-Step Devo Team;142.2;15th October 2002;Belgium;54;1.81;142;43;83;12;0;170
420;420;;de la Cruz David;Astana Qazaqstan Team;142;6th May 1989;Spain;66;1.90;142;129;2446;912;42;2722
421;421;;Díaz José Manuel;Burgos-BH;142;18th January 1995;Spain;64;1.81;142;142;393;0;6;462
422;422;;Covi Alessandro;UAE Team Emirates;142;28th September 1998;Italy;66;;142;724;172;5;30;898
423;423;;Jegat Jordan;CIC U Nantes Atlantique;142;7th June 1999;France;59;1.84;142;100;57;4;1;110
424;424;;Oka Atsushi;JCL Team UKYO;140;3rd September 1995;Japan;57;1.73;140;30;114;297;59;136
425;425;;Blikra Erlend;Uno-X Pro Cycling Team;140;11th January 1997;Norway;75;1.78;140;165;3;36;520;36
426;426;;White Conor;Austin Aviators;140;19th October 1999;Bermuda;79;1.87;140;84;0;160;25;0
427;427;;Teugels Lennert;Bingoal WB;139;9th April 1993;Belgium;64;1.90;139;269;281;12;120;288
428;428;;Cahyadi Aiman;Terengganu Polygon Cycling Team;139;16th November 1993;Indonesia;52;1.76;139;223;97;95;206;94
429;429;;Fretin Milan;Team Flanders - Baloise;139;19th March 2001;Belgium;70;1.79;139;148;17;15;296;33
430;430;;Sbaragli Kristian;Alpecin - Deceuninck;137;8th May 1990;Italy;74;1.65;137;1848;486;0;1513;1414
431;431;;Naesen Oliver;AG2R Citroën Team;137;16th September 1990;Belgium;74;1.76;137;3969;1343;49;1254;1988
432;432;;Smith Dion;Intermarché - Circus - Wanty;137;3rd March 1993;New Zealand;67;1.69;137;1082;759;71;796;1230
433;433;;Caicedo Jonathan Klever;EF Education - EasyPost;137;28th April 1993;Ecuador;62;1.82;137;275;378;144;112;406
434;434;;Trarieux Julien;China Glory Continental Cycling Team;136;19th August 1992;France;71;1.77;136;145;138;38;138;154
435;435;;García Pierna Raúl;Equipo Kern Pharma;136;23rd February 2001;Spain;67;1.80;136;36;126;82;6;140
436;436;;Milesi Lorenzo;Team DSM;136;19th March 2002;Italy;70;1.76;136;33;43;93;1;51
437;437;;Christophersen Cedrik Bakke;Team Coop - Repsol;136;11th December 2001;;;1.63;136;4;127;0;18;64
438;438;;Conci Nicola;Alpecin - Deceuninck;135;5th January 1997;Italy;68;1.86;135;290;495;8;117;592
439;439;;Martín Gotzon;Euskaltel - Euskadi;135;15th February 1996;;;1.93;135;298;130;0;86;349
440;440;;Barrenetxea Jon;Caja Rural - Seguros RGA;135;20th April 2000;Spain;74;1.75;135;69;72;5;5;164
441;441;;Earle Nathan;JCL Team UKYO;134;4th June 1988;Australia;70;1.69;134;223;623;94;232;454
442;442;;Pronskiy Vadim;Astana Qazaqstan Team;134;4th June 1998;Kazakhstan;58;1.82;134;37;543;48;17;408
443;443;;Hopkins Kaden;Vendée U ;134;24th March 2000;Bermuda;67;1.75;134;60;0;235;24;10
444;444;;Pluimers Rick;Tudor Pro Cycling Team;134;7th December 2000;Netherlands;67;1.84;134;114;44;82;86;177
445;445;;Morgado António;Hagens Berman Axeon;134;28th January 2004;;;1.79;134;81;42;0;5;60
446;446;;Wandahl Frederik;BORA - hansgrohe;132;9th May 2001;Denmark;61;1.64;132;157;104;1;6;170
447;447;;Pöstlberger Lukas;Team Jayco AlUla;131;10th January 1992;Austria;70;1.83;131;656;264;331;303;368
448;448;;Fortin Filippo;Maloja Pushbikers;131;1st February 1989;Italy;78;1.75;131;301;85;121;1716;122
449;449;;Dalla Valle Nicolas;Team Corratec - Selle Italia;131;13th September 1997;Italy;73;1.80;131;39;40;172;300;168
450;450;;Finé Eddy;Cofidis;131;20th November 1997;France;70;;131;194;60;0;34;114
451;451;;Koch Jonas;BORA - hansgrohe;130;25th June 1993;Germany;75;;130;586;330;36;410;530
452;452;;Conti Valerio;Team Corratec - Selle Italia;129;30th March 1993;Italy;61;1.85;129;551;854;258;136;1196
453;453;;Flynn Sean;Team DSM;129;2nd March 2000;Great Britain;67;;129;89;57;12;76;83
454;454;;Piganzoli Davide;EOLO-Kometa;129;8th July 2002;Italy;61;;129;55;95;27;2;134
455;455;;Tzortzakis Polychronis;Roojai Online Insurance;128;3rd January 1989;Greece;80;1.88;128;212;178;370;502;43
456;456;;Tratnik Jan;Jumbo-Visma;128;23rd February 1990;Slovenia;67;1.80;128;792;720;1656;646;946
457;457;;Fuglsang Jakob;Israel - Premier Tech;128;22nd March 1985;Denmark;65;1.73;128;3571;6573;1677;624;7341
458;458;;Hamilton Lucas;Team Jayco AlUla;128;12th February 1996;Australia;71;1.77;128;380;1063;84;169;1130
459;459;;Reguigui Youcef;Terengganu Polygon Cycling Team;127;9th January 1990;Algeria;69;1.80;127;780;535;165;2022;352
460;460;;Masnada Fausto;Soudal - Quick Step;127;6th November 1993;Italy;65;;127;670;1533;178;67;1510
461;461;;Gautherat Pierre;AG2R Citroën Team;127;16th January 2003;France;70;;127;133;5;50;81;24
462;462;;de Vries Hartthijs;TDT-Unibet Cycling Team;126;11th July 1996;Netherlands;66;1.78;126;142;83;12;274;52
463;463;;Stewart Jake;Groupama - FDJ;126;2nd October 1999;Great Britain;66;1.82;126;411;364;28;244;426
464;464;;Gilmore Brady;Israel - Premier Tech;126;14th April 2001;Australia;70;1.83;126;200;0;0;2;9
465;465;;Liepiņš Emīls;Trek - Segafredo;125;29th October 1992;Latvia;67;;125;658;256;205;1420;121
466;466;;Paret-Peintre Valentin;AG2R Citroën Team;125;14th January 2001;France;52;;125;46;76;0;4;170
467;467;;Scotson Callum;Team Jayco AlUla;124;10th August 1996;Australia;77;1.80;124;22;228;71;38;137
468;468;;Jasim Al-Ali Abdulla;Al Wathba Cycling Team;124;17th January 2003;;;1.87;124;96;18;3;18;15
469;469;;Elissonde Kenny;Trek - Segafredo;123;22nd July 1991;France;52;1.72;123;275;1221;27;38;1612
470;470;;Abrahamsen Jonas;Uno-X Pro Cycling Team;123;20th September 1995;Norway;78;1.77;123;62;87;11;130;74
471;471;;Norsgaard Mathias;Movistar Team;123;5th May 1997;Denmark;81;1.74;123;130;91;482;130;3
472;472;;Vanhoucke Harm;Lotto Dstny;122;17th June 1997;Belgium;65;1.86;122;98;673;73;56;782
473;473;;Schachmann Maximilian;BORA - hansgrohe;121;9th January 1994;Germany;70;1.73;121;1331;1727;1381;140;2674
474;474;;Pacher Quentin;Groupama - FDJ;121;6th January 1992;France;62;1.81;121;706;852;84;266;1509
475;475;;Langellotti Victor;Burgos-BH;121;7th June 1995;Monaco;64;1.84;121;48;60;20;1;206
476;476;;Lapeira Paul;AG2R Citroën Team;121;25th May 2000;France;64;1.72;121;157;56;29;66;65
477;477;;Lemmen Bart;Human Powered Health;121;14th October 1995;;;1.82;121;70;92;91;26;79
478;478;;Stites Tyler;Project Echelon Racing;120;18th March 1998;United States;60;1.77;120;37;97;164;98;108
479;479;;Bais Davide;EOLO-Kometa;120;2nd April 1998;Italy;66;1.84;120;67;100;22;13;176
480;480;;Zijlaard Maikel;Tudor Pro Cycling Team;120;1st June 1999;Netherlands;73;1.79;120;111;36;255;198;28
481;481;;Sessler Nícolas;Global 6 Cycling;120;29th April 1994;Brazil;58;;120;121;20;0;7;24
482;482;;Labib Shotorban Ali;Mes Sungun - Azad;120;21st September 2002;Iran;60;1.75;120;106;12;5;86;15
483;483;;Rickaert Jonas;Alpecin - Deceuninck;119;7th February 1994;Belgium;88;1.76;119;778;183;119;660;38
484;484;;Warlop Jordi;Soudal - Quick-Step Devo Team;119;4th June 1996;Belgium;72;1.83;119;541;23;0;386;216
485;485;;Sweeny Harry;Lotto Dstny;119;9th July 1998;Australia;75;;119;112;138;69;63;232
486;486;;Braet Vito;Team Flanders - Baloise;119;2nd November 2000;Belgium;68;;119;137;21;6;150;38
487;487;;Double Paul;Human Powered Health;119;25th June 1996;Great Britain;56;1.69;119;52;251;4;20;183
488;488;;Boivin Guillaume;Israel - Premier Tech;118;25th May 1989;Canada;78;1.83;118;1380;442;152;1438;309
489;489;;Gregaard Jonas;Uno-X Pro Cycling Team;118;30th July 1996;Denmark;66;2.02;118;135;448;39;108;384
490;490;;Honoré Mikkel Frølich;EF Education - EasyPost;118;21st January 1997;Denmark;68;1.81;118;910;437;113;93;1018
491;491;;Babor Daniel;Caja Rural - Seguros RGA;118;22nd October 1999;Czech Republic;79;1.83;118;33;10;26;416;38
492;492;;Hoole Daan;Trek - Segafredo;118;22nd February 1999;NetherlandsWe;.4;1.79;118;153;67;447;34;52
493;493;;Parisini Nicolò;Q36.5 Pro Cycling Team;118;25th April 2000;Italy;65;1.77;118;64;54;7;84;61
494;494;;Viviani Attilio;Team Corratec - Selle Italia;117;18th October 1996;Italy;69;1.76;117;120;70;0;582;42
495;495;;Charmig Anthon;Uno-X Pro Cycling Team;117;25th March 1998;Denmark;66;;117;55;466;43;8;313
496;501;+5;Currie Logan;Bolton Equities Black Spoke;117;24th June 2001;New Zealand;;1.78;116;15;110;136;10;40
497;496;-1;De Gendt Aimé;Intermarché - Circus - Wanty;116;17th June 1994;Belgium;75;1.83;116;902;508;117;376;330
498;497;-1;Guerin Alexis;Bingoal WB;116;6th June 1992;France;65;1.89;116;138;370;138;144;323
499;498;-1;Bernard Julien;Trek - Segafredo;116;17th March 1992;France;60;1.69;116;147;673;41;25;480
500;499;-1;Smit Willie;China Glory Continental Cycling Team;116;29th December 1992;South Africa;72;1.70;116;269;187;193;202;88
